Ref,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",149.923500,-72.009000,90.000000,top
"C2","100nF","C_0402_1005Metric",138.938000,-97.305000,270.000000,top
"C3","100nF","C_0402_1005Metric",74.168000,-86.487000,90.000000,top
"C4","100nF","C_0402_1005Metric",74.422000,-74.930000,90.000000,top
"D1","LED","LED_0603_1608Metric",135.923001,-86.423500,180.000000,top
"R1","470","R_0603_1608Metric",135.890000,-88.455500,180.000000,top
"R2","10k","R_0402_1005Metric",71.374000,-78.867000,180.000000,top
"R3","10k","R_0402_1005Metric",71.374000,-80.645000,180.000000,top
"R4","10k","R_0402_1005Metric",71.374000,-82.931000,180.000000,top
"R5","10k","R_0402_1005Metric",71.374000,-84.709000,180.000000,top
"R6","10k","R_0402_1005Metric",87.122000,-84.455000,0.000000,top
"R7","10k","R_0402_1005Metric",87.099000,-82.677000,0.000000,top
"R8","10k","R_0402_1005Metric",87.122000,-80.645000,0.000000,top
"R9","10k","R_0402_1005Metric",87.122000,-78.867000,0.000000,top
"R10","10k","R_0402_1005Metric",148.272500,-64.389000,180.000000,top
"R11","10k","R_0402_1005Metric",148.295500,-66.167000,180.000000,top
"R12","10k","R_0402_1005Metric",148.249500,-68.199000,180.000000,top
"R13","10k","R_0402_1005Metric",148.272500,-69.977000,180.000000,top
"R14","10k","R_0402_1005Metric",161.480500,-70.231000,0.000000,top
"R15","10k","R_0402_1005Metric",161.480500,-68.453000,0.000000,top
"R16","10k","R_0402_1005Metric",161.480500,-66.421000,0.000000,top
"R17","10k","R_0402_1005Metric",161.480500,-64.643000,0.000000,top
"R18","10k","R_0402_1005Metric",140.208000,-105.156000,0.000000,top
"R19","10k","R_0402_1005Metric",140.208000,-103.378000,0.000000,top
"R20","10k","R_0402_1005Metric",140.208000,-101.346000,0.000000,top
"R21","10k","R_0402_1005Metric",140.208000,-99.568000,0.000000,top
"R22","10k","R_0402_1005Metric",126.492000,-99.568000,180.000000,top
"R23","10k","R_0402_1005Metric",126.492000,-101.346000,180.000000,top
"R24","10k","R_0402_1005Metric",126.515000,-103.378000,180.000000,top
"R25","10k","R_0402_1005Metric",126.515000,-105.156000,180.000000,top
"R26","10k","R_0402_1005Metric",71.843000,-66.834000,180.000000,top
"R27","10k","R_0402_1005Metric",71.843000,-68.824000,180.000000,top
"R28","10k","R_0402_1005Metric",71.843000,-70.814000,180.000000,top
"R29","10k","R_0402_1005Metric",71.843000,-72.804000,180.000000,top
"R30","10k","R_0402_1005Metric",85.598000,-72.771000,0.000000,top
"R31","10k","R_0402_1005Metric",85.598000,-70.866000,0.000000,top
"U1","74hc165","SOIC-16_3.9x9.9mm_P1.27mm",79.121000,-81.788000,90.000000,top
"U2","74hc165","SOIC-16_3.9x9.9mm_P1.27mm",155.003500,-67.437000,90.000000,top
"U3","74hc165","SOIC-16_3.9x9.9mm_P1.27mm",133.858000,-102.489000,270.000000,top
"U4","74hc165","SOIC-16_3.9x9.9mm_P1.27mm",79.248000,-69.786500,90.000000,top
